Date : 2025-03-14 02:35:28
Directory : /Users/Apple/Downloads/nftSwap
Total : 67 files,  8813 codes, 942 comments, 1234 blanks, all 10989 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         46 |      6,491 |        753 |        858 |      8,102 |
| JSON       |          5 |        782 |          0 |          5 |        787 |
| CSS        |          3 |        506 |         55 |         75 |        636 |
| Markdown   |          2 |        490 |          0 |        177 |        667 |
| Solidity   |         10 |        464 |        133 |        112 |        709 |
| HTML       |          1 |         80 |          1 |          7 |         88 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         67 |      8,813 |        942 |      1,234 |     10,989 |
| . (Files)                                                                                          |          4 |        542 |          1 |        179 |        722 |
| contracts                                                                                          |         10 |        464 |        133 |        112 |        709 |
| frontend                                                                                           |         48 |      7,476 |        720 |        854 |      9,050 |
| frontend (Files)                                                                                   |          1 |         33 |          0 |          1 |         34 |
| frontend/public                                                                                    |          2 |        105 |          1 |          8 |        114 |
| frontend/src                                                                                       |         45 |      7,338 |        719 |        845 |      8,902 |
| frontend/src (Files)                                                                               |          6 |        415 |         44 |         56 |        515 |
| frontend/src/abis                                                                                  |          2 |        687 |          0 |          2 |        689 |
| frontend/src/components                                                                            |         23 |      2,862 |        291 |        383 |      3,536 |
| frontend/src/components (Files)                                                                    |          1 |        209 |          4 |         14 |        227 |
| frontend/src/components/CustomSelect                                                               |          1 |        133 |          8 |         20 |        161 |
| frontend/src/components/FeaturedNFTs                                                               |          1 |        130 |          1 |         16 |        147 |
| frontend/src/components/Filters                                                                    |          1 |         96 |         16 |          9 |        121 |
| frontend/src/components/IPFSExample                                                                |          2 |        339 |         19 |         57 |        415 |
| frontend/src/components/IPFSImage                                                                  |          2 |        268 |         56 |         40 |        364 |
| frontend/src/components/ListNFT                                                                    |          1 |          0 |          0 |          1 |          1 |
| frontend/src/components/NFTCard                                                                    |          1 |        437 |         40 |         42 |        519 |
| frontend/src/components/NFTGrid                                                                    |          1 |        126 |         23 |         20 |        169 |
| frontend/src/components/NFTMetadata                                                                |          2 |        167 |         41 |         31 |        239 |
| frontend/src/components/Navbar                                                                     |          2 |        292 |         32 |         40 |        364 |
| frontend/src/components/styled                                                                     |          8 |        665 |         51 |         93 |        809 |
| frontend/src/contexts                                                                              |          2 |         74 |         12 |         16 |        102 |
| frontend/src/data                                                                                  |          1 |        362 |         33 |         12 |        407 |
| frontend/src/pages                                                                                 |          8 |      2,622 |        214 |        321 |      3,157 |
| frontend/src/pages/Home                                                                            |          4 |      1,076 |        115 |        130 |      1,321 |
| frontend/src/pages/Home (Files)                                                                    |          1 |        452 |         44 |         51 |        547 |
| frontend/src/pages/Home/components                                                                 |          3 |        624 |         71 |         79 |        774 |
| frontend/src/pages/MintWTFape                                                                      |          1 |        380 |         12 |         51 |        443 |
| frontend/src/pages/MyNFTs                                                                          |          1 |        749 |         54 |         98 |        901 |
| frontend/src/pages/TransactionHistory                                                              |          2 |        417 |         33 |         42 |        492 |
| frontend/src/pages/TransactionHistory (Files)                                                      |          1 |        185 |         18 |         20 |        223 |
| frontend/src/pages/TransactionHistory/components                                                   |          1 |        232 |         15 |         22 |        269 |
| frontend/src/utils                                                                                 |          3 |        316 |        125 |         55 |        496 |
| ignition                                                                                           |          1 |         11 |          2 |          6 |         19 |
| ignition/modules                                                                                   |          1 |         11 |          2 |          6 |         19 |
| scripts                                                                                            |          1 |         14 |          2 |          3 |         19 |
| test                                                                                               |          3 |        306 |         84 |         80 |        470 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                           | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/Apple/Downloads/nftSwap/README.md                                                           | Markdown   |        252 |          0 |        107 |        359 |
| /Users/Apple/Downloads/nftSwap/TASKS.md                                                            | Markdown   |        238 |          0 |         70 |        308 |
| /Users/Apple/Downloads/nftSwap/contracts/ERC721.sol                                                | Solidity   |        176 |         56 |         34 |        266 |
| /Users/Apple/Downloads/nftSwap/contracts/IERC165.sol                                               | Solidity   |          4 |         13 |          2 |         19 |
| /Users/Apple/Downloads/nftSwap/contracts/IERC721.sol                                               | Solidity   |         29 |          4 |         13 |         46 |
| /Users/Apple/Downloads/nftSwap/contracts/IERC721Metadata.sol                                       | Solidity   |          6 |          1 |          3 |         10 |
